Log P,ran_1,ran_2,non_iso,kekule
5.0506,5.050600000000003,5.050600000000004,5.050600000000004,5.050600000000004
3.1137,3.1137000000000015,3.1137000000000015,3.1137000000000015,3.1137000000000015
4.96778,4.967780000000005,4.967780000000005,4.967780000000004,4.967780000000004
4.00022,4.000220000000003,4.000220000000003,4.000220000000003,4.000220000000003
3.60956,3.609560000000002,3.6095600000000028,3.6095600000000028,3.6095600000000028
2.6374,2.6374000000000004,2.6374000000000004,2.6374000000000013,2.6374000000000013
0.9978,0.9978000000000002,0.9977999999999996,0.9977999999999998,0.9977999999999998
2.3347,2.3347000000000007,2.3346999999999998,2.3346999999999998,2.3346999999999998
4.2813,4.2813000000000025,4.281300000000002,4.2813000000000025,4.281300000000002
0.8801,0.8801000000000001,0.8801000000000001,0.8801000000000001,0.8801000000000001
5.8075800000000015,5.807580000000005,5.807580000000006,5.807580000000005,5.807580000000005
3.41742,3.4174200000000017,3.4174200000000026,3.4174200000000017,3.4174200000000017
2.3794,2.3794000000000004,2.379400000000001,2.3794000000000004,2.3794000000000004
3.61572,3.615720000000003,3.6157200000000023,3.6157200000000023,3.6157200000000023
1.8118,1.8117999999999994,1.8117999999999999,1.8117999999999994,1.8117999999999994
0.613,0.6130000000000004,0.6129999999999995,0.6130000000000004,0.6130000000000004
4.22504,4.2250400000000035,4.2250400000000035,4.2250400000000035,4.2250400000000035
2.1622,2.1622000000000003,2.1621999999999995,2.1622000000000003,2.1622000000000003
3.39202,3.3920200000000014,3.3920200000000023,3.3920200000000023,3.3920200000000014
3.8036,3.803600000000003,3.803600000000003,3.803600000000002,3.803600000000002
2.2362,2.2361999999999993,2.2361999999999993,2.2362,2.2362
3.81104,3.811040000000002,3.811040000000003,3.811040000000003,3.811040000000002
1.419,1.4189999999999998,1.4189999999999994,1.4189999999999996,1.4189999999999996
-0.2124,-0.21239999999999987,-0.2124000000000001,-0.2124000000000003,-0.2124000000000003
3.09442,3.0944200000000013,3.0944200000000013,3.0944200000000013,3.0944200000000013
2.69566,2.695660000000001,2.695660000000001,2.695660000000001,2.695660000000001
1.4169,1.4169000000000007,1.4168999999999994,1.4169000000000007,1.4169000000000007
4.5958,4.595800000000004,4.595800000000003,4.595800000000004,4.595800000000003
3.26928,3.269280000000002,3.269280000000002,3.269280000000002,3.269280000000002
1.79382,1.7938199999999993,1.7938199999999995,1.7938199999999993,1.7938199999999993
3.36334,3.3633400000000018,3.3633400000000018,3.3633400000000018,3.3633400000000018
3.4512,3.451200000000002,3.451200000000002,3.451200000000002,3.451200000000002
3.7738,3.7738000000000014,3.773800000000003,3.7738000000000023,3.7738000000000023
3.55962,3.5596200000000016,3.5596200000000024,3.5596200000000024,3.5596200000000024
1.3099,1.3099000000000003,1.3098999999999994,1.3098999999999998,1.3098999999999998
2.9175,2.9175000000000013,2.9175000000000013,2.9175000000000013,2.9175000000000013
3.7472,3.747200000000003,3.747200000000003,3.747200000000003,3.747200000000003
0.6611199999999999,0.6611200000000002,0.661120000000001,0.661120000000001,0.661120000000001
1.8531,1.8530999999999995,1.8530999999999997,1.8530999999999997,1.8530999999999997
2.4523,2.4523,2.452300000000001,2.452300000000001,2.452300000000001
4.6566,4.656600000000004,4.656600000000004,4.656600000000003,4.656600000000003
1.6758,1.6758,1.6758,1.6758,1.6758
2.9994,2.9994000000000014,2.9994000000000014,2.9994000000000014,2.9994000000000014
2.1810400000000003,2.1810400000000003,2.1810400000000003,2.1810399999999994,2.1810399999999994
3.1738,3.173800000000001,3.173800000000002,3.1738000000000017,3.1738000000000017
4.0031,4.003100000000003,4.003100000000003,4.003100000000003,4.003100000000003
3.1901,3.190100000000001,3.190100000000001,3.1901,3.1901
4.31024,4.310240000000003,4.310240000000003,4.310240000000004,4.310240000000003
3.55504,3.5550400000000026,3.5550400000000026,3.5550400000000026,3.5550400000000026
0.9869,0.9868999999999997,0.9869000000000001,0.9868999999999997,0.9868999999999997
5.1694,5.169400000000004,5.169400000000005,5.169400000000004,5.169400000000004
4.2683,4.2683000000000035,4.268300000000003,4.2683000000000035,4.2683000000000035
3.3055,3.305500000000002,3.305500000000001,3.305500000000002,3.305500000000002
3.92,3.9200000000000026,3.9200000000000026,3.9200000000000026,3.9200000000000026
2.60002,2.6000200000000007,2.6000200000000007,2.6000200000000007,2.6000200000000007
2.2271,2.227099999999999,2.227099999999999,2.2271,2.2271
3.5051,3.5051000000000014,3.5051000000000014,3.5051000000000014,3.5051000000000014
3.8916,3.891600000000002,3.891600000000002,3.891600000000003,3.891600000000003
4.3967,4.396700000000002,4.396700000000002,4.396700000000002,4.396700000000003
3.3865,3.3865000000000025,3.3865000000000016,3.3865000000000016,3.3865000000000025
3.15912,3.1591200000000015,3.1591200000000015,3.1591200000000015,3.1591200000000015
-1.7138,-1.713799999999997,-1.713799999999996,-1.7137999999999969,-1.7137999999999969
2.6592,2.659200000000001,2.659200000000001,2.6592000000000002,2.6592000000000002
-1.4271,-1.4270999999999978,-1.4270999999999978,-1.4270999999999978,-1.4270999999999978
4.5236,4.523600000000004,4.523600000000004,4.523600000000004,4.523600000000004
-1.7608,-1.7608000000000001,-1.7608000000000004,-1.7608000000000004,-1.7608000000000004
2.1097200000000003,2.1097200000000007,2.1097200000000003,2.10972,2.10972
3.49336,3.4933600000000027,3.4933600000000027,3.493360000000002,3.493360000000002
2.6097,2.6097,2.6097,2.609700000000001,2.6097
2.9941,2.9941000000000013,2.9941000000000013,2.9941000000000013,2.9941000000000013
4.24262,4.242620000000003,4.242620000000004,4.242620000000003,4.242620000000003
4.94642,4.946420000000003,4.946420000000004,4.946420000000003,4.946420000000003
2.4116,2.4116,2.411600000000001,2.4116,2.4116
1.895,1.8949999999999996,1.8949999999999994,1.895,1.895
3.1302,3.130200000000002,3.130200000000002,3.130200000000002,3.130200000000002
-1.7369,-1.7368999999999974,-1.7368999999999974,-1.7368999999999974,-1.7368999999999974
0.8101,0.8100999999999998,0.8100999999999994,0.8100999999999998,0.8100999999999998
1.64362,1.6436200000000005,1.6436200000000014,1.6436200000000005,1.6436200000000005
-1.6108,-1.6107999999999958,-1.6107999999999958,-1.6107999999999958,-1.6107999999999958
0.25058,0.2505800000000018,0.2505800000000041,0.2505800000000018,0.2505800000000018
0.2511,0.2510999999999999,0.2511,0.2511,0.2511
5.0413,5.041300000000003,5.041300000000004,5.041300000000004,5.041300000000004
4.4257,4.425700000000003,4.425700000000003,4.4257000000000035,4.4257000000000035
4.4077,4.407700000000003,4.407700000000003,4.407700000000003,4.407700000000003
2.37584,2.375840000000001,2.37584,2.37584,2.37584
3.1684,3.168400000000001,3.168400000000002,3.168400000000002,3.168400000000002
3.6096,3.6096000000000013,3.609600000000002,3.609600000000002,3.609600000000002
0.97822,0.9782200000000002,0.9782199999999995,0.9782200000000002,0.9782200000000002
4.6779,4.677900000000004,4.677900000000004,4.677900000000004,4.677900000000004
-0.2316,-0.23159999999999958,-0.2315999999999998,-0.2315999999999988,-0.2315999999999988
2.00942,2.0094199999999995,2.0094200000000004,2.0094199999999995,2.0094199999999995
4.3596,4.359600000000004,4.359600000000004,4.359600000000004,4.359600000000004
2.6233,2.6233000000000013,2.6233000000000013,2.6233000000000004,2.6233000000000004
2.67138,2.671380000000001,2.671380000000001,2.671380000000001,2.671380000000001
-1.1141,-1.1140999999999965,-1.114099999999997,-1.114099999999997,-1.114099999999997
4.4769,4.476900000000003,4.476900000000003,4.476900000000003,4.476900000000003
2.57252,2.572520000000001,2.572520000000001,2.57252,2.57252
0.1271,0.12709999999999944,0.1270999999999997,0.12710000000000016,0.12710000000000016
1.93192,1.9319199999999994,1.9319199999999996,1.9319199999999992,1.9319199999999992
4.6263,4.626300000000004,4.626300000000004,4.626300000000004,4.626300000000004
4.6231,4.623100000000004,4.623100000000004,4.6231000000000035,4.6231000000000035
2.1995,2.1994999999999996,2.1994999999999996,2.1995,2.1994999999999996
4.7471,4.747100000000003,4.747100000000001,4.747100000000002,4.747100000000002
4.0652,4.065200000000003,4.065200000000003,4.065200000000003,4.065200000000003
3.54042,3.540420000000002,3.5404200000000032,3.540420000000002,3.540420000000002
1.6908,1.6908,1.6908,1.6908,1.6908
0.1005,0.10050000000000003,0.10049999999999959,0.10049999999999987,0.10049999999999987
3.17722,3.177220000000001,3.177220000000001,3.177220000000001,3.177220000000001
2.4354,2.4354000000000005,2.4354000000000005,2.4354000000000005,2.4354000000000005
0.2615,0.2614999999999996,0.26149999999999984,0.26150000000000007,0.26150000000000007
3.0432,3.0432000000000015,3.0432000000000015,3.0432000000000015,3.0432000000000015
1.64112,1.6411199999999997,1.6411199999999997,1.6411199999999997,1.6411199999999997
3.721,3.721000000000002,3.721000000000002,3.721000000000002,3.721000000000002
3.83082,3.830820000000003,3.830820000000003,3.8308200000000037,3.8308200000000037
4.16022,4.1602200000000025,4.1602200000000025,4.160220000000003,4.160220000000003
2.4946,2.4946,2.4946,2.4946,2.4946
2.99092,2.990920000000002,2.990920000000001,2.990920000000001,2.990920000000001
2.5509,2.5509000000000004,2.5509000000000004,2.5509000000000013,2.5509000000000013
3.2388,3.2388000000000012,3.238800000000002,3.2388000000000012,3.2388000000000012
3.5179,3.517900000000002,3.517900000000002,3.517900000000002,3.517900000000002
2.7948,2.7948000000000013,2.7948000000000013,2.7948000000000013,2.7948000000000013
3.0074,3.0074000000000005,3.0074000000000005,3.0074000000000014,3.0074000000000014
3.26402,3.264020000000002,3.264020000000002,3.2640200000000013,3.264020000000002
0.6644800000000001,0.6644800000000004,0.6644800000000004,0.6644799999999995,0.6644799999999995
1.3664,1.3663999999999996,1.3663999999999996,1.3663999999999996,1.3663999999999996
